part	test	score	sha8	preview
P10	semantic_ans_too	999	08fb5a32	anstoo = ans too = answer two = second answer -> secondanswer
P4_even	vigenere_beau_thispassword	4	a184b644	qtwiptalmlztykteijkkgkocgpfdjlffewlaiuwyvksplpgrocqetquyaozhgvfsbjdmgallgpxzxady
P4_even	vigenere_beau_enter	3	08f3ba08	bzhurxvmuomdyhcqgcwjojqdemkeycrabmlbcgsxkxtbgfchzmmzxutkrtmvrbqednynodyvgmglvtpx
P4_even	vigenere_beau_partfour	3	ca20b785	mmfjfhckfxzjkrfdijjlpkrqcioezzhexilqubixvkrqupjfkvzfjewxtazxscrrbjcnpaozciganofx
P4_even	vigenere_beau_thematrixhasyou	3	f2de0ed8	qtscamzbneiidrffanesdnfwuipjifgumuuqgvlngcyljuwshvbdmnjgwywygvbmmccchtualwjapexg
P4_even	vigenere_beau_yourlastcommand	3	36deb03d	vaihltamslucfqokhdjdkoqbbujlholbczfxhgquswakszdimgiexsqsqavhlcrrxjdnmagunvsfwucr
P4_even	vigenere_enc_lastwordsbeforearchichoice	3	148d7539	ooedwvjkcewpjotoytpqslrjpwopyijbjvyepsalyqrfshnttnushkqnsojzfnhfcitghqnapzzbueau
P4_even	vigenere_enc_matrixsumlist	3	5a9db04b	pofbiekbwoacojphyzfakqojflppzgvkkmsotffgujrlirfyqnkhikrlexkqzxlshdpzhwdkhewbktbu
P4_even	vigenere_enc_partfour	3	9d052092	soddfvmyzdjdaljfwrzbvsxscsuildhehsxwqbgljqrwqnfdufjhbysllajpsaxrdrgzvcajcscmxojl
P4_even	vigenere_enc_thematrixhasyou	3	a4dbd385	wvqwaajphksctljhovuijvlyusvnujguwegwcvjbuiyrfssqrflfehfuoygqgthmokgonvgklgfmzebu
P4_odd	base4_perm=('10', '00', '01', '11')_size6_off0	3	ceb59ec1	fNhhYAS5GEQxOEDc3Uiuv2KO+tXDACQLzwr92GcutI7owN1Q+wGVwSAaz/VyFsPTR93jsHAEFimZ87iD
P4_odd	base4_perm=('10', '01', '00', '11')_size6_off1	3	324659d5	e5JISqNwkiLo8iubmDNdfk099YGuqsK3vrX5kkbdYz3Tq5gL9qkBqMqVv+Bsha+OJ5nPamqihNER73Mu
P4_odd	base4_perm=('10', '11', '01', '00')_size5_off1	3	f2987aac	qy?nvx?pco?o?g?w?ytcf??fadowifbkph????db?qbdnsofb?sfm?rcxyi?wkt????gacu?vr?dr?bc
P4_odd	base4_perm=('11', '00', '01', '10')_size6_off0	3	df5a672c	aJxxcATtHEQhLECYmUz76nPLr5WCADQOig+pnHY75Mu8gJlQrgHVgTAfiqVjF4KSRpmy4GAEFz3douzC
P4_odd	base4_perm=('11', '01', '10', '00')_size6_off0	3	50460805	gS22tVnObZlGTZUhIp3zwLfTDyoUVXlcEF8CLbhzydM9FSKlDFbqFnVvEAqHaxQkmCI0xYVZa37uBM3U
P2	A1_group_sum_L13	0	6402a3ee	mphwkj
P2	A1_group_sum_L2	0	a125f213	kiggqgnlggimmjnchlglgdifihjnhggkhlpijfg
P2	A1_group_sum_L3	0	b2e270da	shposnitovermmjiolsjpjsroh
P2	A1_group_sum_L6	0	9fe78367	aegckwzsaczkw
P2	bifid5_key=btcseed_per10	0	e3f010c8	beibdzfdtetsbzdodubvbedotzazaxteddbealacbldcbctsdiambebxbvdudbtlkctsfiduttbvbz
P2	bifid5_key=btcseed_per13	0	00e3f7bb	bbncdwhdbbewsdobwgoewetevebtfwdwhibbhacficiftsbbtfibbvewdofqbvbkcbbhihihpkbdoe
P2	bifid5_key=btcseed_per26	0	f08764b6	tsieaydhbbbzbbbvksdztetzdutcdxavdibbafbcdldcaybbtxdibvtxaqarcvtmbbbzdebnktbbdn
P2	bifid5_key=btcseed_per5	0	d9baff6b	etkbdexbtestsvhdoevbethpeewetfbtfabhwctcbidtccksibhietsfobvedbbklctgldhoebedde
P2	bifid5_key=btcseed_per7	0	8ce856ed	tbibhvdbvntgwsbvhobvbhoevdwhavdkctdfwcbcwdcbcbfksebhkstsewbiccbctfkscdhoettvbe
P2	bifid5_key=btcseed_per78	0	26be3a3b	tcicavddbbtxbcbxicaybbtxdodubzartybebxbbbeaobxfvdvtxbbaxaxamcbagbbdndedzttbvdn
P2	bifid5_key=matrixsumlist_per10	0	9cd51472	uwazntmblquzeedzewdguwdzfcomnrlqabuweoelemexuquzdpepuwecdgewdbertyuzcpewxvdgee
P2	bifid5_key=matrixsumlist_per13	0	09264ee5	bwtqprmsbweebgvgegwefxyceubwotkrckbwtulcnctcubvbwfkggeeedwcqgdgtlbweneneqavgwu
P2	bifid5_key=matrixsumlist_per26	0	0e900d2e	uztwnituszeeszdgtzntlqfcewuynmnadpsztluqehexniszefdpdgefeyezcgeiszeeeuetmvszen
P2	bifid5_key=matrixsumlist_per5	0	dfe1860f	xqavpecbycbwgeegwedbuycyccfxwobwrusntlwfgagulctgagenuwgcvgeegsgtrlwghgewuweiuu
P2	bifid5_key=matrixsumlist_per7	0	1ef85b0a	sviwnaigetwptbgeevgdbcwedprhkagnlwaotlwcedxwxwcnguwenbwgeedtxqglwfnbqgewuqddge
P2	bifid5_key=matrixsumlist_per78	0	4497aeb8	uytqnaabszefuqectqniszefdzeweeezeguwecszuwevechikiefsznrnrepxztbszeneuntxvdgen
P2	bifid5_key=part_per10	0	86380c36	axhgirrdrvazdkczdxcmaxczehkpitrvpgaxdsdfdpdcavazcuduaxdhcmdxcgdtifazeodxpwcmdk
P2	bifid5_key=part_per13	0	ffc890bd	bwkeirpcbweibgvgigwekpxcirbwlaircnbwrdtcocacdbvbwfnggieidwcxdhgatbweoeoevicgwr
P2	bifid5_key=part_per26	0	01ae8fc9	azieibaepzdkpzcmigirrvehdxayipiacupzafavdndcibpzdlcucmdldydzeidbpzdkdedrhdpzdq
P2	bifid5_key=part_per5	0	0742ef6a	pvicmekaxcbwgiegwehbrxcxcckpwlbwtdakatwfgpgdtcagpgeorwgcvgiedcgaltwgqdewrwebdr
P2	bifid5_key=part_per7	0	ad3c1fea	avmdkpbgikdmabgievghbcwehmrhipgotwalatwcidpwpwcogrweobwgeidapxdtwfobxdewrvdhge
P2	bifid5_key=part_per78	0	b67b7fac	ayiciapgpzdlavdhicibpzdlczdxdkdzdmaxdhpzaxdwdhkahbdlpzititdurwagpzdqdeirpwcmdq
P2	bifid5_key=partfour_per10	0	6a8a49dd	begnhercbhbghpgbhogrbegbhrhhekbhabbepzozuquyuibgaxrwbegtgrhouxosesbgryhooggrhp
P2	bifid5_key=partfour_per13	0	479141bb	bhenihrubheruhuhrgberbhhrobekgkhrwbhpodtwcmcxugbefwbhreakuibiabldbhpxpxeogmhbo
P2	bifid5_key=partfour_per26	0	4c16e5bc	bghlhgrouhhpuhgrhmhebhhrhookgigkaxuhpduiayuyhguhefaxgrefedhuhtbmuhhpbvblemuhrv
P2	bifid5_key=partfour_per5	0	9e1a3c81	begmherchhuhgrehbeabohhbhhrbekbefudeedekbmbvdcnumbpxohgiuhrocwblkdhaxteboherbo
P2	bifid5_key=partfour_per7	0	12bd6437	ughnegrhrenghuhreuhabhbeahhhggrvdgfkedgiafcgcgtxuohpxuhgeadmchidefxuhteboegahe
P2	bifid5_key=partfour_per78	0	86600d22	okgqgkabuhefuigtgqhguhefgbhohphuhabegtuhbegdgthighefuhekekrwbiruuhrvbvheoggrrv
P2	bifid5_key=secondanswer_per10	0	6020cb19	dvgtfgwrwxwvsagbfaebdvgbcwhhhfwxabdvhswsshdcdxwvgnhedvswebfaancfhlwvhofaavebsa
P2	bifid5_key=secondanswer_per13	0	9449c6e6	bugpihwabuewakanwgdewwxcdabxfgfhhebuawdhscfwcavbxfenndeafdhwoanhdbugsgsgagmkda
P2	bifid5_key=secondanswer_per26	0	672b25d6	wvfmhgdaazsaazebhmfgwxcwfawufhgfgnazwddxfcdchgazcdgnebcdhdhacrcgazsadesggmazfe
P2	bifid5_key=secondanswer_per5	0	bc120c84	wvgmkewrxcaxedgkdeabaxhwccwwxfbxdadghdxsngbcdchegngsaxehanderenhfdxgcigdauebda
P2	bifid5_key=secondanswer_per7	0	f98ca920	avklggbndgpghandganabhdeakhhggkcdvdfhducafwuwuhceaugcaxeeasfwxodxfcaxigdaveane
P2	bifid5_key=secondanswer_per78	0	1faefa63	wufpgfabazcddxswfphgazcdgbfasahacadvswazdvgdswhigkcdazhfhfhewywaazfedefgavebfe
